customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag
100133,26.0,Female,East,Graduate,Self-Employed,524176.7,851365.86,Business,781.2,4,18,29.2,2019-04-28,1
100134,43.0,Female,East,Secondary,Salaried,743593.17,359195.71,Education,,1,21,19.56,2022-03-06,1
100135,28.0,Male,North,Graduate,Unemployed,,1012235.0,Car,491.3,0,26,45.28,2023-05-21,1
100136,55.0,Male,East,Graduate,Salaried,532317.4,977398.8,Car,561.0,2,30,7.25,2024-06-14,0
100137,29.0,Male,North,Primary,Self-Employed,1526060.87,1221075.47,Education,658.8,2,32,14.41,2020-05-23,0
100138,34.0,Female,East,Graduate,Salaried,622191.17,540445.32,Home,581.1,4,18,18.07,2022-04-26,1
100139,47.0,Male,South,Graduate,Salaried,454584.45,640137.25,Business,644.9,1,25,13.01,2024-02-29,1
100140,24.0,Male,North,Secondary,Salaried,226683.83,1051276.01,Car,682.8,1,27,35.71,2025-05-11,0
100141,41.0,Male,North,Graduate,Salaried,476017.94,588562.98,Car,804.3,2,25,48.1,2018-05-22,0
100142,52.0,Female,South,Graduate,Salaried,457101.5,333121.44,Home,655.3,6,20,61.87,2023-02-23,0
100143,20.0,Male,North,Post-Graduate,,932702.15,343821.24,Car,,1,35,12.58,2020-09-30,0
100144,40.0,Female,East,Primary,Salaried,709304.05,519247.45,Car,801.4,0,23,33.71,2025-04-16,1
100145,41.0,Female,East,Secondary,Self-Employed,287512.19,207454.23,Car,801.9,1,25,27.46,2023-11-25,0
100146,47.0,Male,North,Graduate,Unemployed,604655.09,412935.84,Education,,1,30,34.2,2023-07-08,0
100147,24.0,Female,East,Secondary,Salaried,795730.39,868854.65,Car,513.1,0,30,42.86,2019-06-13,1
100148,23.0,Male,West,Graduate,Salaried,1274533.52,120843.37,Other,719.2,1,22,24.53,2025-03-08,0
100149,44.0,Female,North,Graduate,Salaried,896094.13,1129959.24,Education,769.1,1,28,58.24,2020-08-26,0
100150,41.0,Male,South,Primary,Salaried,835795.48,882423.51,Business,,4,15,49.32,2022-11-08,0
100151,41.0,Female,West,Graduate,Self-Employed,568479.68,341514.05,Home,828.3,6,22,32.68,2025-06-28,0
100152,42.0,Female,North,Graduate,Salaried,680950.68,623458.42,Car,753.1,1,28,36.54,2024-05-27,0
100153,31.0,Female,South,Secondary,Salaried,1093507.8,450850.69,Car,728.3,1,29,10.98,2020-03-15,0
100154,41.0,Female,East,Post-Graduate,Salaried,264248.7,941281.09,Education,772.3,1,22,11.77,2021-08-27,0
100155,41.0,Male,South,Graduate,Salaried,453831.8,811478.16,Business,708.3,2,17,12.69,2019-10-30,0
100156,30.0,Female,West,Graduate,,359604.73,194261.49,Home,468.1,0,31,33.43,2019-01-20,0
100157,59.0,Female,East,Graduate,Unemployed,677529.09,640087.59,Home,637.6,5,22,40.75,2026-07-22,0
100158,43.0,Female,North,Secondary,Salaried,1081971.89,397768.78,Business,781.8,2,32,11.08,2022-05-28,0
100159,25.0,Male,East,Post-Graduate,,396066.62,472929.88,Home,611.4,2,20,26.14,2025-07-11,0
100160,45.0,Female,North,Graduate,Self-Employed,147710.0,290715.3,Education,661.0,1,21,11.11,2018-01-13,1
100161,27.0,Female,North,Graduate,Unemployed,438428.56,1284506.43,Education,591.2,1,29,30.31,2026-03-27,1
100162,47.0,Female,South,Graduate,Salaried,908985.22,839901.54,Business,831.6,1,21,25.28,2024-01-17,0
100163,51.0,Male,South,Secondary,,739234.16,288699.08,Home,822.9,6,34,34.9,2021-07-31,0
100164,29.0,Female,South,Graduate,,696049.46,202043.14,Home,604.9,2,28,36.41,2025-02-25,0
100165,49.0,Male,West,Secondary,Salaried,471501.35,357038.64,Education,692.5,1,28,39.63,2023-08-18,0
100166,43.0,Female,West,Secondary,Salaried,272176.67,584028.14,Other,622.2,0,25,23.09,2018-03-13,0
100167,47.0,Male,South,Secondary,Salaried,730208.53,519762.04,Car,732.3,4,34,44.67,2026-01-18,1
100168,59.0,Female,West,Post-Graduate,Salaried,347603.79,954442.38,Car,723.3,0,25,14.22,2023-11-16,0
100169,35.0,Other,East,Graduate,Salaried,1828354.17,722848.33,Education,749.0,4,18,24.56,2023-11-05,1
100170,30.0,Male,East,Graduate,Self-Employed,752722.96,805118.12,Other,850.0,1,35,23.94,2023-02-09,1
100171,,Other,West,Graduate,Salaried,399639.03,547499.1,Business,850.0,3,31,28.09,2018-04-11,0
100172,29.0,Male,West,Graduate,Salaried,392939.79,195521.11,Other,592.6,2,23,20.79,2018-10-08,0
100173,37.0,Female,East,Post-Graduate,Salaried,522590.91,400145.59,Home,534.6,2,39,77.93,2020-06-01,1
100174,42.0,Female,North,Secondary,Salaried,482119.6,850055.32,Home,646.6,3,20,24.65,2021-08-05,0
100175,41.0,Female,East,Secondary,Unemployed,1016557.15,436301.63,Education,546.7,1,27,10.69,2025-08-28,0
100176,47.0,Female,East,Secondary,Salaried,609383.12,608563.83,Business,553.1,1,27,18.06,2024-02-22,0
100177,,Female,West,Graduate,Salaried,367793.2,371667.11,Car,594.9,1,26,18.52,2024-09-04,0
100178,54.0,Male,East,Graduate,Self-Employed,1555668.53,242587.02,Home,601.6,2,28,28.05,2019-09-01,0
100179,35.0,Male,West,Secondary,Salaried,565119.87,417899.57,Business,598.9,1,20,24.23,2019-03-26,0
100180,68.0,Female,West,Primary,Unemployed,839477.86,541680.34,Home,724.0,1,21,18.34,2021-07-08,0
100181,45.0,Female,South,Graduate,Salaried,1191118.07,303637.62,Car,637.0,1,23,57.93,2022-03-16,0
100182,29.0,Female,East,Primary,Salaried,671579.15,390653.44,Education,664.7,3,17,19.07,2018-05-01,1
100183,26.0,Female,North,Graduate,Salaried,652642.02,256100.42,Education,756.0,6,28,35.58,2024-07-07,0
100184,43.0,Male,South,Post-Graduate,Salaried,194534.82,880768.25,Business,614.9,2,24,32.87,2020-12-11,0
100185,36.0,Female,West,Secondary,Self-Employed,1666231.2,377124.03,Car,657.5,0,30,34.41,2018-11-14,0
100186,46.0,Male,West,Secondary,Self-Employed,1118532.38,1075887.21,Education,711.1,0,31,25.71,2025-06-15,0
100187,43.0,Female,North,Graduate,Salaried,442066.73,1126078.24,Education,515.0,3,27,26.48,2019-12-03,0
100188,37.0,Male,West,Graduate,Salaried,299966.24,428641.11,Education,477.3,3,25,48.71,2025-07-03,1
100189,29.0,Male,East,Graduate,Self-Employed,665858.49,245716.48,Education,709.4,4,26,21.5,2020-10-13,0
100190,21.0,Male,South,Post-Graduate,Unemployed,576861.39,128728.93,Home,721.8,2,26,60.18,2018-01-21,0
100191,33.0,Male,West,Primary,Salaried,668834.2,186051.84,Home,850.0,0,21,15.47,2024-09-12,1
100192,47.0,Female,West,Graduate,Salaried,611115.42,197343.66,Home,693.4,2,22,38.64,2022-10-05,0
100193,40.0,Male,North,Graduate,Salaried,726581.62,1028986.24,Home,,3,26,15.04,2024-02-28,0
100194,24.0,Male,East,Graduate,Unemployed,1219183.21,482384.9,Education,663.4,2,26,36.83,2024-11-18,0
100195,40.0,,West,Secondary,Salaried,751728.36,568505.11,Business,705.3,1,28,14.4,2020-06-14,0
100196,42.0,Male,North,Graduate,Salaried,308773.42,118746.98,Business,821.7,2,31,34.83,2021-03-28,0
100197,28.0,Male,West,Graduate,Self-Employed,1163662.74,219305.94,Business,499.5,2,27,31.4,2024-06-15,1
100198,40.0,Male,North,Secondary,Salaried,1355948.23,766240.01,Car,715.2,1,27,55.28,2024-12-26,0
100199,,Female,North,Secondary,Salaried,3000000.0,534489.48,Car,850.0,1,35,36.57,2023-09-05,1
100200,25.0,,East,Graduate,Salaried,,411959.24,Car,704.0,4,19,31.08,2018-03-07,0
100201,42.0,Female,West,Secondary,Salaried,628605.19,631534.77,Home,820.3,2,28,44.61,2018-09-20,1
100202,44.0,Male,East,Secondary,Salaried,174996.15,1200779.57,Home,626.5,4,23,23.98,2019-04-17,0
100203,50.0,Male,North,Secondary,Salaried,745570.96,394106.87,Education,677.3,1,23,33.43,2024-01-24,1
100204,50.0,Female,South,Graduate,,406835.17,469125.1,Other,682.8,1,18,25.1,2025-10-18,1
100205,23.0,Male,West,Graduate,,1584166.16,505124.9,Home,491.5,3,14,50.97,2018-12-09,0
100206,28.0,Male,South,Graduate,Self-Employed,359200.25,1890342.6,Home,580.7,2,24,13.42,2019-12-19,0
100207,44.0,,West,Secondary,Self-Employed,217210.65,127693.62,Business,586.8,1,22,38.87,2024-09-26,0
100208,,Male,East,Graduate,,424419.87,678023.12,Home,749.9,1,29,3.71,2022-08-22,0
100209,44.0,Male,East,Graduate,Salaried,185564.03,420046.84,Business,754.1,1,27,19.37,2026-06-01,0
100210,75.0,Male,East,Graduate,Salaried,,632266.27,Business,707.5,1,19,18.11,2021-05-23,0
100211,44.0,Female,East,Post-Graduate,Salaried,176641.56,303330.83,Other,750.0,0,25,45.82,2025-06-27,0
100212,50.0,Female,East,Primary,Salaried,558676.14,436971.76,Car,666.0,3,24,54.6,2025-10-15,0
100213,48.0,Female,South,Graduate,Self-Employed,175409.24,689587.73,Education,782.2,4,25,13.14,2023-07-19,0
100214,45.0,Female,East,Primary,Salaried,461164.35,2913160.06,Car,680.7,1,20,30.55,2024-12-05,0
100215,35.0,Female,North,Graduate,Salaried,1358010.8,730748.46,Education,684.9,3,13,28.23,2020-11-21,0
100216,46.0,Female,North,Secondary,Salaried,670668.26,270536.82,Car,657.4,0,26,29.85,2018-01-15,0
100217,29.0,Female,South,Secondary,Self-Employed,342063.64,1029587.03,Home,738.2,3,26,28.6,2023-02-13,0
100218,35.0,Male,West,Secondary,Salaried,540641.48,342817.8,Education,644.2,1,20,38.82,2018-01-17,1
100219,33.0,Male,North,Graduate,Self-Employed,555477.2,153217.99,Education,763.0,2,20,23.42,2025-01-25,0
100220,39.0,Male,West,Secondary,Salaried,713273.52,369146.46,Business,583.8,3,24,27.32,2022-11-15,1
100221,63.0,Female,South,Graduate,Unemployed,259341.62,698506.88,Business,586.6,2,22,45.68,2023-05-04,1
100222,18.0,Female,West,Secondary,Unemployed,2307633.86,209496.77,Education,738.4,1,17,49.11,2018-03-22,0
100223,46.0,Male,West,Primary,Salaried,124275.75,844155.88,Home,672.5,1,27,36.41,2025-05-27,1
100224,20.0,Female,West,Graduate,Salaried,388962.05,602997.15,Business,641.4,2,29,48.91,2024-10-19,0
100225,33.0,Male,West,Secondary,Salaried,420467.7,289659.93,Education,755.7,1,13,36.15,2026-06-07,0
100226,50.0,Female,South,Secondary,Salaried,779184.63,413364.51,Other,628.4,2,23,19.48,2020-10-15,1
100227,39.0,Male,North,Graduate,Self-Employed,,1174080.62,Other,663.0,2,15,11.4,2025-06-19,0
100228,26.0,Male,East,Secondary,Self-Employed,253879.21,698808.17,Home,798.9,3,19,42.79,2020-02-19,1
100229,30.0,,West,Primary,Self-Employed,319952.34,452377.85,Business,810.8,5,26,55.82,2022-12-30,0
100230,,Male,North,Secondary,Self-Employed,613507.37,390191.48,Home,813.7,2,17,4.01,2024-02-12,0
100231,30.0,Male,North,Post-Graduate,Salaried,526594.73,471167.2,Car,656.0,2,14,38.11,2024-10-05,0
100232,,Male,South,Graduate,Salaried,399974.19,331023.53,Education,784.6,1,20,24.72,2024-11-18,1
100233,39.0,Female,North,Graduate,Self-Employed,422191.79,127281.08,Home,599.3,4,28,10.09,2023-11-01,1
100234,31.0,Female,South,Graduate,Salaried,806586.12,1532344.71,Business,602.9,2,24,39.17,2025-02-27,1
100235,62.0,Male,West,Secondary,Self-Employed,413719.15,493954.09,Home,480.2,2,31,10.11,2025-05-14,0
100236,45.0,Female,West,Secondary,Salaried,523987.64,571426.54,Home,822.2,0,29,48.63,2018-11-21,0
100237,18.0,Female,East,Graduate,Salaried,1814170.11,434633.41,Education,606.6,1,24,27.5,2023-09-30,1
100238,40.0,Male,East,Primary,Unemployed,251361.67,289506.43,Business,669.2,1,24,26.83,2020-11-16,1
100239,31.0,Male,East,Secondary,Salaried,198622.25,402499.11,Other,602.6,1,13,38.61,2019-11-08,0
100240,47.0,Male,North,Secondary,Unemployed,846315.82,172364.38,Business,739.1,2,20,58.35,2023-07-23,0
100241,29.0,Male,West,Secondary,Unemployed,378669.8,1764282.69,Education,648.1,3,31,33.23,2026-04-17,0
100242,37.0,Female,South,Post-Graduate,Self-Employed,,214549.48,Car,569.1,3,23,23.21,2023-07-05,0
100243,44.0,Male,East,Primary,Self-Employed,357910.25,242273.64,Home,717.5,4,26,27.66,2020-03-03,0
100244,48.0,Female,South,Graduate,Salaried,476767.14,345534.35,Home,558.1,3,25,50.65,2025-05-28,0
100245,25.0,Female,South,Secondary,Self-Employed,1324929.12,974664.22,Education,608.8,1,20,33.23,2021-04-09,0
100246,34.0,Male,East,Post-Graduate,Salaried,854989.28,453934.53,Education,500.9,3,25,57.13,2023-12-05,0
